Name,Api,Country,Status,Well Type,Latitude,Longitude,True Vertical Depth (ft),True Vertical Depth (km)
"KRATZIG, PAUL 1",4217532878,GOLIAD,Plugged & Abandoned,Dry Hole,28.67336845397949,-97.3481903076172,12600.0498046875,3.84
NITSCHMANN 1,4217534172,GOLIAD,Plugged & Abandoned,WET GAS,28.823579788208008,-97.34864044189452,11703.0,3.567
S. G. HERNANDEZ ET UX UNIT 1,4217533175,GOLIAD,Plugged & Abandoned,WET GAS,28.676156997680664,-97.33304595947266,12777.740234375,3.895
DORRIS GAS UNIT 2,4217532985,GOLIAD,Plugged & Abandoned,DRY GAS,28.7421875,-97.22038269042967,12813.2001953125,3.905
"PETTUS, J. M. 11, ET AL OIL UNIT 2",4217533288,GOLIAD,Plugged & Abandoned,CONDENSATE,28.66762924194336,-97.54875946044922,9519.259765625,2.901
JACOBS 1,4217534183,GOLIAD,Plugged & Abandoned,Unknown,28.82944679260254,-97.33761596679688,11703.0,3.567
"PETTUS, J. M. II, ET AL 3",4217533397,GOLIAD,Plugged & Abandoned,WET GAS,28.66625213623047,-97.53990936279295,9491.16015625,2.893
"RAY, GEORGE A. 107",4217533419,GOLIAD,Plugged & Abandoned,Unknown,28.643808364868164,-97.73605346679688,14759.23046875,4.499
"BOYCE, W.W. 1",4217532689,GOLIAD,Plugged & Abandoned,DRY GAS,28.791383743286133,-97.5522689819336,14973.5703125,4.564
THIGPEN 1,4217534091,GOLIAD,Plugged & Abandoned,CONDENSATE,28.70555305480957,-97.39369201660156,12024.0,3.665
ALBRECHT HEIRS 1,4217533520,GOLIAD,Plugged & Abandoned,Unknown,28.816598892211918,-97.3402862548828,10985.0,3.348
NORMADON GAS UNIT 1,4217533654,GOLIAD,Plugged & Abandoned,WET GAS,28.778764724731445,-97.48274230957033,11611.5595703125,3.539
SALYER-SHERMAN UNIT 1ST,4217533944,GOLIAD,Orphaned - Shut In,WET GAS,28.69218063354492,-97.3171844482422,12676.490234375,3.864
BRUNS-HENNIG UNIT 1,4217534214,GOLIAD,Plugged & Abandoned,Dry Hole,28.7293758392334,-97.37677764892578,12104.1298828125,3.689
"RANCH, RAY 1",4217532668,GOLIAD,Plugged & Abandoned,WET GAS,28.63753890991211,-97.74781036376952,8179.5400390625,2.493
HILBRICH 2,4217533407,GOLIAD,Orphaned - Shut In,DRY GAS,28.76838111877441,-97.62220001220705,15540.5,4.737
ALBRECHT 1,4217533560,GOLIAD,Plugged & Abandoned,DRY GAS,28.784631729125977,-97.57635498046876,16914.310546875,5.155
BORCHERS 1,4217533108,GOLIAD,Plugged & Abandoned,Dry Hole,28.80099868774414,-97.56355285644533,15290.7802734375,4.661
PEAK #1 1,4240134226,RUSK,Orphaned - Shut In,VOLATILE OIL,31.855684280395508,-94.9036865234375,9724.0,2.964
PENNINGTON 1,4248732847,WILBARGER,Plugged & Abandoned,Unknown,34.1554069519043,-99.2054443359375,8212.0,2.503
KING RANCH BORREGOS M832B,4227332573,KLEBERG,Plugged & Abandoned,Dry Hole,27.5529899597168,-97.97721862792967,8499.990234375,2.591
MCDONOUGH 1,4227332518,KLEBERG,Plugged & Abandoned,DRY GAS,27.37563133239746,-97.7442855834961,14065.0,4.287
KING RANCH HEAD QUARTERS 4,4227331865,KLEBERG,Plugged & Abandoned,Dry Hole,27.52341651916504,-97.91675567626952,7523.14013671875,2.293
